,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,3.3157,3.2679,3.0936,3.234,3.3157,3.2679,2.2624,3.1453,2.1373,1.2159,2.8380,3.0999,2.9494,2.9484,2.8863,2.2498,2.8750,1.5387,1.8758,2.8619,1.7708,1.0593,2.3213,2.8177,2.5228,2.1589,2.7587,2.7558,2.7489,2.7414,2.1200,1.2416,2.6968,2.6899,2.6776,0.5957,1.9531,2.5811,2.6550,1.7490,2.5830,2.5788,2.5732,2.5520,0.4251,2.4821,2.4536,2.4497,2.4265,1.5154,2.4110,2.0913,2.3553,2.3538,1.1960,2.0829,1.4159,1.9246,2.1293,2.0767,2.2115,2.1933,1.3064,0.5154,1.6194,1.7895,1.4703,1.4064,1.9736,1.9713,1.9480,1.6406,1.8191,1.8126,1.1182,1.7095,1.6815,1.6608,1.3941,1.6364,1.5814,1.3356,1.2875,0.7537,1.1620,1.1481,0.6221
sh,1.3575,3.412,1.3444,0.8110,1.6862,0.9854,2.2047,1.3046,0.4575,1.6116,1.9914,1.4041,1.7025,1.4750,1.9117,0.9626,0.1986,1.4614,2.5422,1.7412,1.3801,2.5087,2.3693,0.8725,0.5506,2.4309,2.3970,1.2444,0.6812,0.8020,0.8211,2.1183,0.8607,0.3028,0.6171,1.1916,1.0692,2.0861,0.5618,2.0854,0.8812,1.2146,2.0044,1.9782,1.9769,1.9622,1.8555,1.8406,1.4766,1.4987,1.8271,1.8244,1.6905,1.6768,1.6698,0.8979,1.6558,1.5899,1.1353,1.0178,1.6102,0.7151,1.4305,1.3434,1.2905,1.2095,1.3112,1.1997,1.1911,1.1252,1.0644,1.0438,1.0110,0.6719,0.5687,0.3266,0.2511,0.1768,,,,,,,,,
tr,3.1390,1.3224,1.2517,2.9496,1.0325,0.8366,1.2456,2.0654,1.6480,0.4500,1.3850,1.8582,1.7708,1.7571,1.0344,0.6196,1.6517,1.4868,1.4689,1.2759,1.2174,1.1859,1.1422,0.8385,0.9744,0.7815,0.7572,0.6849,0.4908,0.4338,0.1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,1.7584,0.3140,1.4179,2.2408,2.5093,1.7342,1.2437,0.5746,0.1929,0.1886,0.1753,0.1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch,3.2340,2.4220,2.1815,2.8892,1.7992,2.8451,1.2628,2.6313,2.0871,1.7069,2.4229,2.8072,2.0271,2.8001,2.7568,2.1500,2.6851,2.0452,2.5736,1.4247,1.9914,2.4985,2.2806,2.0783,1.6922,2.4060,2.3641,1.0384,0.9139,1.4714,2.3411,2.2538,1.6207,1.7639,2.2296,2.2261,1.1539,2.1495,0.9804,1.9582,1.7872,2.0959,2.0704,0.9533,2.0547,2.0481,0.7466,2.0347,2.0320,2.0250,2.0137,1.6287,1.5663,0.7363,1.9713,1.9478,1.8981,1.8555,1.8372,1.8034,1.3460,1.3244,1.2912,1.7776,1.6975,0.8784,1.7451,1.1160,1.6517,1.6356,1.2692,1.5595,1.5072,1.5038,1.4373,1.2594,1.2954,1.2880,1.1745,1.2478,1.2416,1.2098,1.1030,1.0387,,,
dr,2.9866,0.9340,0.7609,1.2123,1.1569,1.7917,0.8260,1.6307,1.6274,0.1797,1.6062,0.2070,0.1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
